chr	pos     	af              	afGD10
1  	1105366 	0.0350877192982 	0.0512820512821
1  	1105411 	0.00943396226415	0.0128205128205
1  	1108138 	0.192307692308  	0.18023255814
1  	1110240 	0.00561797752809	0.0
1  	1110294 	0.228125        	0.242307692308
1  	3537996 	0.87987012987   	0.847826086957
1  	3538692 	0.0410256410256 	0.0432098765432
1  	3541597 	0.00561797752809	0.00617283950617
1  	3541652 	0.0444444444444 	0.0533333333333
1  	3545211 	0.00561797752809	0.00581395348837
1  	6447088 	0.131147540984  	0.14
1  	6447275 	0.0511363636364 	0.0564516129032
1  	6447290 	0.0114942528736 	0.015625
1  	7760783 	0.00561797752809	0.00657894736842
1  	10424956	0.00574712643678	0.00675675675676
1  	11633148	0.111111111111  	0.103448275862
1  	17786644	0.0755813953488 	0.0859375
1  	17786709	0.0823529411765 	0.0806451612903
1  	17801259	0.00684931506849	0.0113636363636
1  	17822149	0.00617283950617	0.00961538461538
